sample,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR19795638,RNA-Seq,300,11530299300,PRJNA852169,SAMN29264381,4439703862,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839588,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262526,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:44:00Z,1,GSM6262526,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795639,RNA-Seq,300,13816037100,PRJNA852169,SAMN29264382,5318084304,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839587,Fanca-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262525,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T13:03:00Z,1,GSM6262525,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795640,RNA-Seq,300,10745960700,PRJNA852169,SAMN29264383,3561174800,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839586,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262524,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:40:00Z,1,GSM6262524,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795641,RNA-Seq,300,10597396200,PRJNA852169,SAMN29264384,3529153726,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839585,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262523,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:37:00Z,1,GSM6262523,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795642,RNA-Seq,300,10783122300,PRJNA852169,SAMN29264385,4128217662,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839584,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262522,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:44:00Z,1,GSM6262522,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795643,RNA-Seq,300,2078013000,PRJNA852169,SAMN29264386,805259390,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839583,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262521,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T11:34:00Z,1,GSM6262521,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795644,RNA-Seq,300,12246310800,PRJNA852169,SAMN29264387,4690592549,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839582,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262520,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:30:00Z,1,GSM6262520,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795645,RNA-Seq,300,7396177800,PRJNA852169,SAMN29264388,2378270208,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839581,Ercc1-p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262519,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:21:00Z,1,GSM6262519,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795646,RNA-Seq,300,6865981800,PRJNA852169,SAMN29264389,2230606975,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839580,Ercc1-p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262518,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:12:00Z,1,GSM6262518,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795647,RNA-Seq,300,7653057000,PRJNA852169,SAMN29264390,2482112548,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839579,Ercc1-p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262517,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:12:00Z,1,GSM6262517,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795648,RNA-Seq,300,6705510600,PRJNA852169,SAMN29264391,2169615863,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839578,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262516,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:20:00Z,1,GSM6262516,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795649,RNA-Seq,300,6248797500,PRJNA852169,SAMN29264392,2021700127,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839577,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262515,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:17:00Z,1,GSM6262515,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795650,RNA-Seq,300,6798178200,PRJNA852169,SAMN29264393,2192614571,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839576,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262514,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:00:00Z,1,GSM6262514,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795651,RNA-Seq,300,5992987500,PRJNA852169,SAMN29264394,1922154499,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839575,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262513,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:05:00Z,1,GSM6262513,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795652,RNA-Seq,300,7388617800,PRJNA852169,SAMN29264395,2397732823,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839574,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262512,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:06:00Z,1,GSM6262512,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795653,RNA-Seq,300,6519198000,PRJNA852169,SAMN29264396,2102431660,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15839573,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262511,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:00:00Z,1,GSM6262511,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795654,RNA-Seq,300,7533521700,PRJNA852169,SAMN29264397,2431575126,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839572,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262510,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:14:00Z,1,GSM6262510,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795655,RNA-Seq,300,7604705100,PRJNA852169,SAMN29264398,2470761519,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX15839571,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262509,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:17:00Z,1,GSM6262509,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795656,RNA-Seq,300,7373379600,PRJNA852169,SAMN29264399,2387057662,Hepatocyte,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839570,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262508,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:13:00Z,1,GSM6262508,Hepatocyte,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795657,RNA-Seq,300,7756029600,PRJNA852169,SAMN29264400,2581763389,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX15839569,Ercc1-p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262507,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:22:00Z,1,GSM6262507,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795658,RNA-Seq,300,8704603500,PRJNA852169,SAMN29264401,2944423565,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839568,Ercc1-p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262506,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:24:00Z,1,GSM6262506,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795659,RNA-Seq,300,7102617000,PRJNA852169,SAMN29264402,2387305864,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839567,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262505,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:04:00Z,1,GSM6262505,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795660,RNA-Seq,300,7654459200,PRJNA852169,SAMN29264403,2600705451,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX15839566,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262504,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:07:00Z,1,GSM6262504,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795661,RNA-Seq,300,8969384700,PRJNA852169,SAMN29264404,3044926242,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839565,Ercc1-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262503,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:27:00Z,1,GSM6262503,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795662,RNA-Seq,300,10709451900,PRJNA852169,SAMN29264405,3546178247,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839564,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262502,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:21:00Z,1,GSM6262502,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795663,RNA-Seq,300,8368705200,PRJNA852169,SAMN29264406,2866093708,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX15839563,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262501,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:12:00Z,1,GSM6262501,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795664,RNA-Seq,300,7887252300,PRJNA852169,SAMN29264407,2646787228,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX15839562,p53-,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:22:00Z,1,GSM6262500,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795665,RNA-Seq,300,7846198800,PRJNA852169,SAMN29264408,2686441330,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839561,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262499,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:20:00Z,1,GSM6262499,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795666,RNA-Seq,300,10750111200,PRJNA852169,SAMN29264409,3636688022,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15839560,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262498,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:39:00Z,1,GSM6262498,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
SRR19795667,RNA-Seq,300,7972805100,PRJNA852169,SAMN29264410,2740760850,HSC,MRC LABORATORY OF MOLECULAR BIOLOGY,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX15839559,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6262497,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2024-02-21T00:00:00Z,2022-06-23T12:11:00Z,1,GSM6262497,HSC,SRP383301,C57BL/6 x 129S4S6/Sv F1
