Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,AGE,sex
SRR20639526,RNA-Seq,50,52190300,PRJNA862285,SAMN29957468,21025901,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662738,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388047,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388047,Bone marrow,SRP388304,Bone marrow,,
SRR20639527,RNA-Seq,50,49828800,PRJNA862285,SAMN29957469,20183652,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662737,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388046,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388046,Bone marrow,SRP388304,Bone marrow,,
SRR20639530,RNA-Seq,50,53489600,PRJNA862285,SAMN29957496,21726097,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662734,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388019,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388019,Bone marrow,SRP388304,Bone marrow,,
SRR20639531,RNA-Seq,50,59280450,PRJNA862285,SAMN29957497,24174251,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662733,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388018,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:29:00Z,1,GSM6388018,Bone marrow,SRP388304,Bone marrow,,
SRR20639532,RNA-Seq,50,49147900,PRJNA862285,SAMN29957498,20021705,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662732,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388017,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388017,Bone marrow,SRP388304,Bone marrow,,
SRR20639533,RNA-Seq,50,61904150,PRJNA862285,SAMN29957499,25331435,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16662731,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388016,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388016,Bone marrow,SRP388304,Bone marrow,,
SRR20639534,RNA-Seq,50,67393150,PRJNA862285,SAMN29957500,27531615,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662730,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388015,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388015,Bone marrow,SRP388304,Bone marrow,,
SRR20639535,RNA-Seq,50,64037450,PRJNA862285,SAMN29957501,26044553,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662729,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388014,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388014,Bone marrow,SRP388304,Bone marrow,,
SRR20639536,RNA-Seq,50,62856750,PRJNA862285,SAMN29957510,25425789,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662728,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388005,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388005,Bone marrow,SRP388304,Bone marrow,,
SRR20639537,RNA-Seq,50,52830500,PRJNA862285,SAMN29957511,21495507,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662727,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388004,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388004,Bone marrow,SRP388304,Bone marrow,,
SRR20639540,RNA-Seq,50,36708400,PRJNA862285,SAMN29957514,14981863,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16662724,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388001,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388001,Bone marrow,SRP388304,Bone marrow,,
SRR20639541,RNA-Seq,50,52910400,PRJNA862285,SAMN29957515,21542989,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662723,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6388000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6388000,Bone marrow,SRP388304,Bone marrow,,
SRR20639542,RNA-Seq,50,47432000,PRJNA862285,SAMN29957516,19274010,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662722,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387999,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6387999,Bone marrow,SRP388304,Bone marrow,,
SRR20639543,RNA-Seq,50,58136200,PRJNA862285,SAMN29957517,23617104,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662721,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387998,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6387998,Bone marrow,SRP388304,Bone marrow,,
SRR20639546,RNA-Seq,50,53827400,PRJNA862285,SAMN29957544,21960291,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16662718,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387971,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:30:00Z,1,GSM6387971,Bone marrow,SRP388304,Bone marrow,,
SRR20639547,RNA-Seq,50,63964850,PRJNA862285,SAMN29957545,25930015,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662717,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387970,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6387970,Bone marrow,SRP388304,Bone marrow,,
SRR20639548,RNA-Seq,50,58791050,PRJNA862285,SAMN29957546,23938316,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662716,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387969,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6387969,Bone marrow,SRP388304,Bone marrow,,
SRR20639549,RNA-Seq,50,49060500,PRJNA862285,SAMN29957547,19857078,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662715,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387968,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6387968,Bone marrow,SRP388304,Bone marrow,,
SRR20639550,RNA-Seq,50,51861000,PRJNA862285,SAMN29957548,21071310,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662714,WT,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6387967,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6387967,Bone marrow,SRP388304,Bone marrow,,
SRR20639554,RNA-Seq,50,31615100,PRJNA862285,SAMN29955524,14446626,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662710,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389555,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6389555,Bone marrow,SRP388304,Bone marrow,,
SRR20639555,RNA-Seq,50,47330750,PRJNA862285,SAMN29955525,21531422,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662709,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389554,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:31:00Z,1,GSM6389554,Bone marrow,SRP388304,Bone marrow,,
SRR20639556,RNA-Seq,50,34169100,PRJNA862285,SAMN29955526,15640860,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662708,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389553,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389553,Bone marrow,SRP388304,Bone marrow,,
SRR20639557,RNA-Seq,50,41267100,PRJNA862285,SAMN29955527,18798289,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662707,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389552,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389552,Bone marrow,SRP388304,Bone marrow,,
SRR20639558,RNA-Seq,50,34881400,PRJNA862285,SAMN29955528,15986188,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662706,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389551,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389551,Bone marrow,SRP388304,Bone marrow,,
SRR20639562,RNA-Seq,50,25894000,PRJNA862285,SAMN29955532,11907988,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16662702,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389547,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389547,Bone marrow,SRP388304,Bone marrow,,
SRR20639563,RNA-Seq,50,37057700,PRJNA862285,SAMN29955533,16960728,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX16662701,p53 knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389546,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389546,Bone marrow,SRP388304,Bone marrow,,
SRR20639564,RNA-Seq,50,35853600,PRJNA862285,SAMN29955534,16490317,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16662700,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389545,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389545,Bone marrow,SRP388304,Bone marrow,,
SRR20639565,RNA-Seq,50,42917800,PRJNA862285,SAMN29955535,19734840,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX16662699,Aldh2 & Fancd2 double knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389544,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389544,Bone marrow,SRP388304,Bone marrow,,
SRR20639566,RNA-Seq,50,39161450,PRJNA862285,SAMN29955536,17940541,Lin-Sca1+cKit+,"HAEMATOLOGY, UNIVERSITY OF CAMBRIDGE",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16662698,Aldh2 & Fancd2 & p53 triple knock-outs,uncalculated,uncalculated,missing,Illumina HiSeq 2500,GSM6389543,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-05-24T00:00:00Z,2022-07-25T20:32:00Z,1,GSM6389543,Bone marrow,SRP388304,Bone marrow,,
